City,State/Region,Country,Zip Code,MMI,Responses,Distance,Latitude,Longitude
Bislig,Caraga,Philippines,,III,2,332 km,8.22,126.32
Butuan,Caraga,Philippines,,III,2,380 km,8.93,125.52
San Isidro,Caraga,Philippines,,IV,1,344 km,8.49,125.97
Batasan,Central Mindanao,Philippines,,IV,1,170 km,7.03,125.05
Cotabato,Central Mindanao,Philippines,,IV,1,208 km,7.23,124.25
Gansing,Central Mindanao,Philippines,,V,1,145 km,6.74,124.66
Kidapawan,Central Mindanao,Philippines,,IV,1,168 km,7.01,125.09
Kisante,Central Mindanao,Philippines,,IV,1,159 km,6.92,125.16
Kulaman,Central Mindanao,Philippines,,V,1,150 km,6.46,124.09
Libertad,Central Mindanao,Philippines,,II,1,313 km,8.25,124.23
Purikay,Central Mindanao,Philippines,,III,1,169 km,6.69,124.07
Sadsalan,Central Mindanao,Philippines,,IV,1,154 km,6.82,124.62
Saguing,Central Mindanao,Philippines,,IV,1,165 km,6.98,125.08
San Mateo,Central Mindanao,Philippines,,II,1,191 km,7.18,124.58
Tangke,Central Visayas,Philippines,,V,1,535 km,10.25,123.86
Awang,Muslim Mindanao,Philippines,,V,1,202 km,7.15,124.22
Dungguan,Muslim Mindanao,Philippines,,V,2,162 km,6.95,124.86
Kalbugan,Muslim Mindanao,Philippines,,V,2,167 km,6.96,124.66
Salimbao,Muslim Mindanao,Philippines,,III,1,207 km,7.22,124.25
Barra,Northern Mindanao,Philippines,,IV,1,330 km,8.5,124.67
Cagayan,Northern Mindanao,Philippines,,II,3,325 km,8.45,124.67
Claveria,Northern Mindanao,Philippines,,II,1,341 km,8.61,124.89
Igpit,Northern Mindanao,Philippines,,IV,1,333 km,8.51,124.59
Lagonglong,Northern Mindanao,Philippines,,VI,1,363 km,8.81,124.79
Maramag,Northern Mindanao,Philippines,,III,1,248 km,7.76,125.01
Alabel,Southern Mindanao,Philippines,,VII,3,83 km,6.1,125.26
Astorga,Southern Mindanao,Philippines,,IV,1,165 km,6.91,125.46
Balet,Southern Mindanao,Philippines,,IV,1,203 km,7.17,125.77
Balutakay,Southern Mindanao,Philippines,,VII,1,143 km,6.72,125.35
Banga,Southern Mindanao,Philippines,,VI,1,111 km,6.42,124.77
Bansalan,Southern Mindanao,Philippines,,V,1,147 km,6.79,125.21
Baracatan,Southern Mindanao,Philippines,,VII,1,170 km,6.97,125.42
Bato,Southern Mindanao,Philippines,,IV,4,179 km,7.04,125.47
Buayan,Southern Mindanao,Philippines,,VII,33,84 km,6.11,125.24
Burias,Southern Mindanao,Philippines,,VII,1,61 km,5.72,125.26
Cablalan,Southern Mindanao,Philippines,,VIII,2,61 km,5.78,125.2
Caburan,Southern Mindanao,Philippines,,VII,1,95 km,5.91,125.64
Camudmud,Southern Mindanao,Philippines,,IV,1,201 km,7.18,125.69
Canocotan,Southern Mindanao,Philippines,,IV,4,226 km,7.4,125.77
Carpenter Hill,Southern Mindanao,Philippines,,VI,2,111 km,6.45,124.87
Compostela,Southern Mindanao,Philippines,,IV,1,267 km,7.67,126.09
Conel,Southern Mindanao,Philippines,,VI,2,90 km,6.2,125.19
Coronon,Southern Mindanao,Philippines,,V,1,162 km,6.88,125.45
Dahican,Southern Mindanao,Philippines,,IV,1,213 km,6.93,126.28
Davao,Southern Mindanao,Philippines,,V,20,191 km,7.11,125.63
Digos,Southern Mindanao,Philippines,,VI,5,147 km,6.76,125.35
Dumlan,Southern Mindanao,Philippines,,III,1,234 km,7.43,125.88
Glan,Southern Mindanao,Philippines,,VIII,2,63 km,5.82,125.2
Glan Padidu,Southern Mindanao,Philippines,,VIII,1,65 km,5.85,125.22
Guihing,Southern Mindanao,Philippines,,V,1,139 km,6.68,125.35
Katangawan,Southern Mindanao,Philippines,,VII,13,88 km,6.17,125.22
Kiamba,Southern Mindanao,Philippines,,VII,3,81 km,5.99,124.63
Kiblawan,Southern Mindanao,Philippines,,V,1,129 km,6.61,125.24
Klinan,Southern Mindanao,Philippines,,VI,4,87 km,6.19,125.13
Koronadal,Southern Mindanao,Philippines,,VI,8,117 km,6.5,124.85
Lapuan,Southern Mindanao,Philippines,,VI,1,113 km,6.15,125.7
Lomuyon,Southern Mindanao,Philippines,,VI,1,69 km,5.92,124.79
Lun,Southern Mindanao,Philippines,,VIII,1,80 km,6.04,125.29
Malandag,Southern Mindanao,Philippines,,VI,2,101 km,6.31,125.25
Nalus,Southern Mindanao,Philippines,,V,1,85 km,6.01,124.59
Nangan,Southern Mindanao,Philippines,,V,1,167 km,6.47,126.12
New Baclayon,Southern Mindanao,Philippines,,V,1,130 km,6.58,125.37
New Visayas,Southern Mindanao,Philippines,,V,1,233 km,7.53,125.62
Padada,Southern Mindanao,Philippines,,VI,1,135 km,6.64,125.35
Pagsabangan,Southern Mindanao,Philippines,,IV,1,233 km,7.48,125.75
Panabo,Southern Mindanao,Philippines,,V,2,213 km,7.31,125.68
Paraiso,Southern Mindanao,Philippines,,IV,1,114 km,6.47,124.81
Polo,Southern Mindanao,Philippines,,VI,1,93 km,6.26,125.11
Polomolok,Southern Mindanao,Philippines,,VI,5,89 km,6.22,125.06
Polonuling,Southern Mindanao,Philippines,,VII,1,95 km,6.29,124.97
Rotonda,Southern Mindanao,Philippines,,VI,2,118 km,6.52,124.89
Samal,Southern Mindanao,Philippines,,III,1,191 km,7.07,125.71
San Isidro,Southern Mindanao,Philippines,,VI,1,113 km,6.46,124.86
San Jose,Southern Mindanao,Philippines,,VII,7,80 km,6.12,125.07
Santa Cruz,Southern Mindanao,Philippines,,IV,1,157 km,6.84,125.41
Silway,Southern Mindanao,Philippines,,VI,4,86 km,6.18,125.11
Sinolon,Southern Mindanao,Philippines,,VI,1,95 km,6.26,124.81
Sulit,Southern Mindanao,Philippines,,VI,1,91 km,6.24,125.02
Surallah,Southern Mindanao,Philippines,,V,1,107 km,6.37,124.73
Tagum,Southern Mindanao,Philippines,,V,1,226 km,7.38,125.81
Talicod,Southern Mindanao,Philippines,,IV,2,179 km,6.96,125.69
Tambo,Southern Mindanao,Philippines,,IV,1,199 km,7.16,125.7
Teresita,Southern Mindanao,Philippines,,V,1,111 km,6.41,124.71
Tinagacan,Southern Mindanao,Philippines,,VII,1,91 km,6.2,125.23
Tinoto,Southern Mindanao,Philippines,,IX,1,63 km,5.89,125.07
Tokawal,Southern Mindanao,Philippines,,VII,1,93 km,6.22,125.25
Tupi,Southern Mindanao,Philippines,,VI,2,99 km,6.33,124.95
Ula,Southern Mindanao,Philippines,,IV,2,188 km,7.13,125.49
Wangan,Southern Mindanao,Philippines,,III,1,190 km,7.16,125.45
Mandih,Western Mindanao,Philippines,,II,1,369 km,8.21,123.02
Tawagan,Western Mindanao,Philippines,,III,1,308 km,7.85,123.48
Zamboanga,Western Mindanao,Philippines,,III,4,360 km,6.92,122.08